Size (bp),ptc_1,ptc_2,ptc_3,ntc_1,ntc_2,ntc_3
1001,11.74,8.41,12.76,0.8,7.76,5.14
1003.93,11.05,8.96,13.3,-0.29,8.42,6.13
1006.85,10.63,8.99,13.31,-2.01,7.95,6.49
1009.78,10.91,8.28,12.64,-1.84,7.83,6.42
1012.71,11.61,6.96,11.53,0.25,9.08,5.77
1015.63,12.11,5.73,10.9,2.17,9.81,4.92
1018.56,12.45,5.28,10.92,3.71,9.02,4.65
1021.49,13.3,6.26,11.39,2.93,8.97,5.43
1024.41,14.4,8.56,12.49,1.24,9.03,6.99
1027.34,14.72,10.02,13.88,0.3,8.39,8.29
1030.26,14.26,8.39,14.74,0.44,7.75,8.46
1033.19,13.43,7.04,14.73,0.57,7.91,8.21
1036.12,12.38,6.55,13.73,0.31,8.7,8.6
1039.04,12.13,7.22,11.9,0.66,9.66,8.55
1041.97,13.68,8.82,10.27,2.06,10.05,6.44
1044.9,15.92,9.96,10.14,3.06,9.47,3.62
1047.82,16.89,9.37,14.55,2.09,8.44,3.01
1050.75,16.15,7.54,15.69,-0.38,7.44,4.87
1053.68,14.88,6.2,15.05,-2.63,6.52,6.49
1056.6,14.26,6.2,14.35,-3.34,6.03,6.26
1059.53,13.89,7.11,14.1,-2.21,6.46,5.43
1062.46,13.08,8.11,12.96,0.16,7.69,5.24
1065.38,11.81,7.64,10.87,2.61,8.99,5.22
1068.31,10.39,6.45,9.59,3.77,9.21,4.96
1071.24,9.98,5.56,10.2,3.42,8.16,4.63
1074.16,11.49,5.27,12.13,2.82,7.55,4.55
1077.09,13.88,5.77,13.86,2.53,8.14,4.83
1080.01,15.52,6.99,14.17,1.87,7.91,4.43
1082.94,16.37,8.46,13.41,0.88,6.66,3.36
1085.87,16.85,9.93,12.93,0.26,5.21,2.72
1088.79,15.91,10.93,12.97,1.21,4.57,2.91
1091.72,12.86,10.82,12.62,2.34,4.97,3.39
1094.65,9.71,9.87,11.57,2.78,5.79,3.85
1097.57,9,8.43,10.57,2.26,6.36,4.3
1100.5,10.73,5.62,10.28,1.22,6.83,4.88
1103.43,12.79,5.84,10.72,0.01,7.55,5.53
1106.35,13.4,6.66,11.48,-1.04,8.22,6
1109.28,12.61,7.41,12.19,-1.43,8.21,6.52
1112.21,11.78,7.91,12.83,-0.92,7.23,7.33
1115.13,11.61,8.05,15.02,-0.14,5.83,7.75
1118.06,11.42,7.92,15.46,0.21,5.4,7.36
1120.99,10.48,7.78,14.47,0.44,6.52,6.67
1123.91,9.24,7.6,13.39,1.08,7.74,5.88
1126.84,8.69,7.38,13.63,1.89,7.1,5
1129.76,9.02,7.74,14.66,2.34,4.87,4.84
1132.69,9.73,8.7,14.85,2.17,2.93,5.7
1135.62,11.53,8.96,13.81,1.77,4.18,6.56
1138.54,12.18,7.45,12.98,1.84,6.4,6.89
1141.47,11.9,7.18,13.22,1.96,8.87,7.47
1144.4,10.28,6.9,13.38,1,10.26,7.12
1147.32,8.27,7.17,12.61,-0.89,9.96,6.31
1150.25,7.5,8.22,12.34,-1.86,9.15,5.97
1153.18,8.15,9,13.54,-0.75,9.38,6.81
1156.1,9.23,9.06,14.36,0.98,10.7,7.86
1159.03,10.43,9.05,13.03,0.04,11.73,7.22
1161.96,11.71,9.39,10.92,-1.12,11.48,5.08
1164.88,12.56,9.78,10.43,-1.01,10.28,3.28
1167.81,12.94,9.74,11.77,0.6,9.03,2.53
1170.74,13.23,9.35,13.62,2.58,8.17,2.61
1173.66,13.06,8.8,15.01,3,7.46,3.45
1176.59,11.65,6.71,15.23,1.38,6.93,4.69
1179.51,10.1,6.48,11.98,-0.36,7.51,5.67
1182.44,10.39,7.57,10.71,-0.39,9.34,5.84
1185.37,11.67,9.07,10.69,0.71,10.48,4.95
1188.29,11.32,9.54,11.55,1.54,9.53,3.79
1191.22,9.38,8.64,12.52,1.96,7.81,3.56
1194.15,8.01,7.45,12.93,2.52,9.4,4.22
1197.07,8,6.86,12.87,3.13,11.11,4.87
1200,8.61,6.66,13.08,3.64,11.61,4.93
1201,9.28,6.66,13.91,4.53,10.69,4.31
1205.98,10.09,7.05,14.87,5.8,8.98,3.51
1210.97,10.79,7.47,15.76,6.37,7.78,4.4
1215.95,9.55,7.29,16.55,5.62,8.06,5.31
1220.93,9.36,7.26,16.75,4.57,9.22,5.21
1225.92,10.64,8.09,15.98,4.78,9.78,4.4
1230.9,11.64,8.49,14.43,6.45,9.3,3.46
1235.88,11.07,8.76,12.74,8.73,8.44,2.35
1240.87,10.13,9.46,11.91,11.04,7.97,1.04
1245.85,10.14,10.03,12.18,13.5,8.06,0.21
1250.83,10.67,9.56,12.56,12.97,8.2,0.82
1255.82,10.78,8.19,12.32,12.37,8.27,2.9
1260.8,10.32,7.23,11.78,11.87,9,5.34
1265.78,9.52,7.86,11.15,10.64,10.23,6.96
1270.77,8.77,9.11,11.71,8.62,10.63,7.4
1275.75,9.13,8.95,15.09,6.62,9.8,7.26
1280.73,10.94,7.19,18.9,5.24,8.27,7.27
1285.72,12.41,5.15,20.31,4.88,5.52,7.12
1290.7,12.18,6.36,19.18,5.39,5.6,6.04
1295.68,11.7,7.73,17.42,5.95,5.85,4.38
1300.67,12.43,8.1,15.95,6.22,5.69,3.43
1305.65,13.52,8.16,14.67,6.37,5.75,3.6
1310.63,13.74,8.73,14.3,6.31,6.77,3.87
1315.62,13.22,9.07,15.38,6.07,8.44,3.83
1320.6,12.62,8.57,16.23,6.23,9.63,4.62
1325.58,12.51,8,15.2,7.07,9.77,9.19
1330.57,13.05,8.25,13.22,7.91,9.38,10.47
1335.55,13.32,9.14,12.08,7.99,9.21,9.27
1340.53,10.81,9.7,12,7.78,9.55,6.01
1345.52,9.9,9.52,12.21,8.09,9.88,3.07
1350.5,9.71,9.06,12.3,8.78,9.64,2.18
1355.48,9.77,8.86,12.6,9.33,9.4,2.96
1360.47,10.08,8.5,13.37,9.23,9.49,4.08
1365.45,11.03,8.33,14.31,6.49,9.35,4.21
1370.43,12.45,8.49,15.26,5.19,9.04,3.19
1375.42,13.31,9.3,16.32,4.57,9.02,2.38
1380.4,12.85,11.01,16.7,4.52,9.1,2.61
1385.38,11.44,12.21,14.04,4.89,8.57,3.72
1390.37,10.05,11.09,13.78,5.36,7.96,5.25
1395.35,9.42,8.43,14.67,5.55,8.07,6.33
1400.33,9.47,6.97,15.39,5.14,8.99,6.35
1405.32,9.54,7.92,15.63,4.28,9.63,5.63
1410.3,9.56,10.05,16.16,3.98,9.87,4.88
1415.28,9.8,11.3,17.14,4.77,10.69,4.72
1420.27,10.27,10.53,17.57,5.62,11.88,5.14
1425.25,10.85,10.69,16.96,5.58,11.96,5.19
1430.23,11.42,12.13,16.04,5.04,10.93,4.52
1435.22,12.2,13.3,15.22,4.41,10.48,4.33
1440.2,13.6,12.88,14.32,3.74,11.35,6.84
1445.18,15.05,11.4,13.29,3.48,12.93,7.99
1450.17,15.47,10.09,11.94,4.26,14.45,8.41
1455.15,14.85,9.77,10.42,5.7,15.06,8.27
1460.13,13.94,10.68,10,6.6,14.45,8.58
1465.12,13.37,11.85,11.79,6.1,13.42,9.42
1470.1,14.05,11.9,14.65,4.77,12.73,9.16
1475.08,14.8,10.75,15.99,4.41,12.29,7.34
1480.07,15.14,8.8,15.08,5.68,11.68,6.02
1485.05,14.91,8.72,13.56,9.03,10.82,6.53
1490.03,14.47,8.53,12.79,10.22,10.76,7.47
1495.02,14.32,7.75,12.47,10.75,10.53,6.87
1500,14.35,7.13,12.95,10.81,10.68,5.16
1501,14.47,7.85,14.4,10.74,11.46,4.58
1506.61,15.36,9.54,16.06,10.09,12.21,6.25
1512.21,16.78,10.66,16.94,8.41,12.76,8.67
1517.82,17.22,10.57,16.71,6.35,13.28,9.73
1523.43,16.14,9.8,15.43,4.96,13.32,9.2
1529.03,14.57,9.27,13.97,4.91,12.75,8.37
1534.64,13.58,9.71,14.2,6.03,12.23,7.97
1540.25,13.33,11.03,16.21,7.17,12.29,7.33
1545.85,13.27,11.4,18.02,7.23,12.26,5.86
1551.46,12.78,10.61,18.55,6.6,10.81,4.62
1557.07,11.89,10.7,17.83,6.42,8.23,7.09
1562.67,11.38,10.92,16.07,6.37,6.73,8.7
1568.28,11.76,10.22,14.23,5.63,7.54,9.12
1573.89,12.49,9.02,13.27,5.29,9.65,8.29
1579.49,13.28,8.41,13.31,6.52,11.39,6.9
1585.1,14.33,8.72,13.93,8.16,12.01,6.03
1590.71,14.93,9.3,14.57,8.92,11.16,5.37
1596.31,14.37,9.68,15.1,9.48,10.45,4.29
1601.92,13.49,9.88,15.91,10.48,9.94,3.76
1607.53,13.47,9.63,16.65,10.98,9.37,4.6
1613.13,13.55,8.8,16.33,8.37,8.67,6.24
1618.74,13.59,7.48,14.78,6.71,8.38,7.56
1624.35,13.57,7.62,15.81,5.4,8.72,7.49
1629.96,13.55,8.48,17.04,4.83,9.22,6.28
1635.56,13.93,9.08,16.93,5.31,9.25,5.34
1641.17,14.78,8.26,15.69,6.27,8.58,5.29
1646.78,15.48,7.06,15.09,7.15,7.84,5.71
1652.38,15.23,7.11,16.07,7.79,7.89,6.42
1657.99,14.07,8.02,17.38,7.64,8.49,7.23
1663.6,12.99,8.75,17.36,6.42,8.64,7.68
1669.2,12.86,9.11,15.98,4.57,8.11,7.74
1674.81,13.5,8.82,14.35,3.01,7.97,7.66
1680.42,13.87,7.74,13.33,2.99,8.96,7.12
1686.02,13.32,6.83,12.98,4.47,10.07,4.4
1691.63,12.4,8.4,12.98,5.44,10.24,4.26
1697.24,12.21,9.74,13.1,4.83,9.57,4.99
1702.84,13.19,10.82,13.05,3.81,8.49,4.91
1708.45,14.69,11.56,12.45,3.39,8.3,3.6
1714.06,15.56,11.48,11.43,3.28,9.13,2.54
1719.66,15.18,10.42,10.77,2.96,9.11,2.74
1725.27,13.85,9.15,11.36,2.34,8.71,3.79
1730.88,12.26,8.55,13.28,1.8,8.57,4.82
1736.48,10.8,8.64,15.22,1.8,8.21,4.97
1742.09,9.69,8.92,13.55,2.17,7.54,4.07
1747.7,9.72,8.92,11.74,2.75,7.33,3.16
1753.3,11.07,8.66,11.95,2.64,7.79,3.66
1758.91,12.91,8.55,13.54,2.14,8.3,5.8
1764.52,14.19,8.96,14.46,1.56,8.62,7.91
1770.12,14.05,8.93,14.36,1.4,8.69,8.29
1775.73,12.87,9.05,14.14,1.73,8.32,7.43
1781.34,11.89,9.38,14.03,2.36,8.12,6.77
1786.94,11.82,9.42,13.94,3.16,9.02,6.88
1792.55,12.16,9.1,13.78,3.81,9.94,7.25
1798.16,12.05,8.73,13.2,4.52,9.02,6.75
1803.76,11.41,8.25,12.81,5.59,6.79,5.46
1809.37,10.36,7.83,13.63,6.26,5.16,5.08
1814.98,9.28,8.06,14.53,5.76,4.82,6.16
1820.58,9.38,9.08,13.58,4.62,5.74,8.11
1826.19,11.24,10.13,11.54,3.46,5.99,8.35
1831.8,13.79,10.24,10.6,2.55,5.98,8
1837.4,15.44,7.61,11.22,2.27,5.96,7.44
1843.01,15.09,6.24,12.53,2.35,6.12,7.38
1848.62,13.03,5.66,13.51,2.28,6.52,7.77
1854.22,11.21,6.26,13.65,2.66,7.28,8.14
1859.83,11.44,7.71,13.75,4.05,7.99,8.33
1865.44,13.33,9.2,14.58,5.59,7.84,8.36
1871.04,14.6,10.26,14.51,5.95,6.57,7.94
1876.65,13.75,10.96,14.24,4.81,5.21,6.5
1882.26,12.22,11.14,15.16,2.8,5.39,4.84
1887.87,11.95,10.45,16.07,3.79,7.59,4.83
1893.47,12.71,9.31,15.94,4.46,10.23,6.37
1899.08,12.63,8.66,15.16,3.69,11.56,7.5
1904.69,12.81,8.69,14.73,2.61,11.5,7.19
1910.29,13.97,9.1,15.32,2.34,10.64,6.26
1915.9,15.96,9.61,16.24,2.56,9.45,5.98
1921.51,17.07,9.78,16.41,2.96,8.53,6.58
1927.11,16.13,9.22,16.27,3.74,8.28,7.53
1932.72,14.49,8.43,16.4,4.46,9.12,8.67
1938.33,14.02,8.05,15.71,4.44,8.76,9.86
1943.93,14.62,8.34,13.54,3.96,7.39,10.23
1949.54,15.14,8.98,11.73,3.75,5.89,7.79
1955.15,15.1,9.71,12.17,4.35,5.87,7.95
1960.75,14.57,10.59,14.06,5.8,8.39,9.83
1966.36,13.94,11.51,15.46,7.06,12.08,11.62
1971.97,13.95,12.06,15.38,6.89,13.72,12.04
1977.57,14.15,11.81,13.9,5.95,11.76,11.31
1983.18,13.54,10.92,12.15,6.06,8.51,10.12
1988.79,12.98,10.77,11.66,7.52,7.58,9.11
1994.39,13.54,10.44,14.54,9.05,9.61,8.57
2000,14.44,10.71,15.12,9.77,11.87,8.46
2001,15.27,11.5,14.08,9.88,12,8.46
2010.79,16.51,11.72,12.44,9.41,10.48,7.95
2020.59,17.51,10.8,11.51,6.15,8.91,6.84
2030.38,17.29,9.07,11.63,4.76,7.92,5.95
2040.18,16.16,7.7,12.52,4,7.8,5.57
2049.97,14.75,7.79,13.99,3.38,8.56,5.71
2059.76,12.95,9.1,15.22,2.93,9.47,7.14
2069.56,12.87,10.7,15.01,3.07,9.95,9.54
2079.35,12.02,11.67,13.87,3.11,9.85,10.65
2089.15,10.63,8.48,13.71,1.83,9.16,9.38
2098.94,10.46,5.78,14.73,0.5,8.16,7.46
2108.74,11.95,4.52,14.99,1.37,7.58,6.51
2118.53,13.54,4.83,13.51,2.98,7.61,6.24
2128.32,13.81,5.64,11.5,2.34,7.8,6.04
2138.12,12.98,6.1,10.4,0.43,7.57,6.35
2147.91,12.18,6.39,10.43,0.23,7.22,6.6
2157.71,11.97,7.08,10.88,1.6,7.8,6.16
2167.5,12.13,8.32,11.05,2.41,8.86,5.41
2177.29,12.15,10.16,11.51,2.15,8.55,5.46
2187.09,11.78,12.29,13.25,1.86,6.88,6.19
2196.88,11.48,13.51,15.77,2.38,5.94,6.51
2206.68,11.77,13.02,14.73,3.44,6.25,6.27
2216.47,11.75,10.29,13.65,4.14,6.44,6.46
2226.26,10.63,9.43,13.62,4.09,6.21,7.46
2236.06,9.83,8.78,14.6,3.59,6.47,8.3
2245.85,10.95,8.33,16.03,2.98,7.54,8.02
2255.65,12.99,8.45,17.67,2.94,8.86,7.21
2265.44,13.83,9.56,19.16,3.38,9.72,7.33
2275.24,13.21,10.86,19.74,3.99,8.71,8.74
2285.03,12.44,10.72,19.36,4.92,8.12,10.4
2294.82,11.95,9.25,18.82,5.53,8.15,11.35
2304.62,9.77,8.25,18.13,5.33,7.58,11.1
2314.41,9.54,8.54,16.71,4.84,5.66,9.57
2324.21,11.04,9.44,14.91,4.1,4.16,7.57
2334,13,10.51,13.42,2.52,5.02,5.85
2343.79,13.64,13.56,12.06,1.23,7.24,4.55
2353.59,12.95,14.59,10.63,2.21,8.65,6.13
2363.38,12.24,14.59,10.05,4.79,8.88,8.27
2373.18,12.18,14.03,11.14,6.56,8.93,9.3
2382.97,12.61,13.5,13.13,6.72,9.26,9.47
2392.76,13.3,13.01,14.85,5.58,9.56,9.24
2402.56,13.91,12.5,15.88,3.87,9.51,8.27
2412.35,14.12,11.94,15.53,3.12,9.27,7.13
2422.15,13.65,10.94,11.36,3.93,9.46,7.21
2431.94,12.44,9.33,11.53,4.98,10.34,8.58
2441.74,11.5,7.96,14.29,5.1,11.15,9.89
2451.53,11.91,8.04,18.15,4.54,10.93,10.16
2461.32,12.89,9.54,20.99,3.83,9.51,9.36
2471.12,13.14,10.54,21.49,3.41,7.24,8.11
2480.91,12.93,9.66,19.94,3.67,8.04,7.45
2490.71,12.82,9.71,17.9,4.62,8.81,7.7
2500.5,12.33,10.56,16.85,4.01,8.7,7.78
2510.29,11.46,10.76,16.69,3.1,8.43,6.98
2520.09,11.16,9.79,16.23,2.85,8.29,6.05
2529.88,11.75,8.54,15.26,3.55,7.67,6
2539.68,12.26,7.64,15.07,4.3,6.82,7.48
2549.47,11.96,6.64,16.58,4.46,6.28,10.23
2559.26,11.1,5.45,18.31,4.8,6,12.52
2569.06,10.89,5.02,17.85,5.7,6.26,12.83
2578.85,10.45,5.81,15.66,6.22,6.83,9.39
2588.65,10.14,7.21,14.28,5.9,6.78,7.39
2598.44,10.43,10.02,14.25,5.42,6.56,6.72
2608.24,11.38,11.85,14.35,5.13,7.33,7.61
2618.03,12.36,13.99,14.44,4.63,8.65,8.59
2627.82,12.52,15.73,14.88,3.87,9.42,8.79
2637.62,11.62,16.04,13.93,3.54,9.78,8.9
2647.41,10.2,14.26,12.8,3.58,10.12,9.14
2657.21,9.13,10.95,12.27,3.24,9.81,8.7
2667,9.43,7.93,11.86,2.63,7.92,7.68
2676.79,11.36,6.64,11.67,2.33,8.31,7.31
2686.59,13.77,6.67,12.18,2.51,9.61,7.7
2696.38,15.01,6.69,12.83,3.43,10.87,7.34
2706.18,14.57,6.33,12.92,4.74,11.2,5.95
2715.97,12.71,6.39,12.54,3.02,10.28,5.73
2725.76,10.01,7.28,12.21,1.35,8.66,7.86
2735.56,8.25,6.41,12.21,1.53,7.77,10.62
2745.35,9.27,5.22,12.16,2.95,8.59,12.34
2755.15,11.75,4.79,11.79,4.17,10.06,12.71
2764.94,12.46,5.54,11.8,4.58,10.42,11.65
2774.74,10.77,7.07,12.97,4.03,9.66,9.37
2784.53,9.21,8.09,14.67,2.96,8.85,6.87
2794.32,9.77,7.89,15.36,2.77,8.17,5.21
2804.12,11.53,7.5,14.81,4.05,7.21,5.9
2813.91,11.56,8.09,14,5.35,6.41,7.53
2823.71,10.59,9.58,13.03,4.83,6.69,8.56
2833.5,10.86,11.06,11.68,2.36,7.64,8.51
2843.29,12.46,11.5,10.87,-0.22,7.99,8.31
2853.09,13.63,9.36,11.04,-1.05,7.58,9.01
2862.88,13.17,8.97,11.34,-0.11,8.8,10.41
2872.68,12.2,9.5,12.01,1.79,9.66,11.12
2882.47,11.91,10.07,13.74,3.84,8.63,10.49
2892.26,11.93,9.97,15.85,4.62,6.75,10.24
2902.06,11.75,9.85,17.19,3.65,6.24,11.82
2911.85,11.84,10.62,17.18,2.44,7.04,13.66
2921.65,12.76,11.51,16.02,2.57,7.9,13.74
2931.44,14.04,11.12,14.36,3.89,8.94,12.52
2941.24,14.4,9.9,13.19,5.08,10.61,11.32
2951.03,13.55,9.29,12.93,5,11.94,10.41
2960.82,12.61,9.25,12.9,4.51,11.72,10.01
2970.62,12.34,8.89,12.3,3.89,10.49,10.44
2980.41,12.7,9.39,11.31,3.71,10.16,10.91
2990.21,13.46,10.86,10.62,4.4,11.6,9.88
3000,13.99,11.52,10.46,5.29,13.21,7.47
3001,13.65,10.71,10.49,5.97,12.88,6.07
3016.07,12.88,9.55,10.51,6.63,10.77,6.99
3031.14,12.45,9.19,10.96,6.52,8.69,8.13
3046.21,12.22,9.04,12.15,4.81,7.66,7.04
3061.28,11.79,8.19,13.25,2.54,7.66,6.5
3076.35,11.33,7.15,13.17,1.42,8.2,6.99
3091.42,11.66,6.99,12.46,1.49,7.88,8.1
3106.49,12.42,8.2,14.52,1.63,7.57,9.02
3121.56,13.06,10.18,16.51,1.46,7.51,9.29
3136.63,12.56,12.14,17.84,1.61,7.09,9.35
3151.7,11.37,14.2,18.24,2.44,6.4,9.8
3166.77,10.85,12.54,18.03,3.58,6.45,10.58
3181.84,10.8,10.59,17.25,4.41,7.62,11.39
3196.91,10.66,10.55,15.43,4.36,8.74,11.71
3211.98,11.28,11.64,13.07,3.7,8.76,10.52
3227.06,12.9,12.22,11.49,3.42,8.28,8.06
3242.13,14.01,11.86,10.98,3.71,8.06,6.33
3257.2,13.65,10.66,10.92,4.04,8.14,6.11
3272.27,12.6,9.27,11.37,5.1,8.9,6.46
3287.34,12.03,8.46,12.8,5.66,10.29,7.14
3302.41,12.34,7.99,14.64,5.63,11.32,8.3
3317.48,12.81,7.77,15.72,5.33,11.9,9.03
3332.55,12.51,8.57,15.56,5.08,12.37,8.99
3347.62,11.85,11.5,14.83,4.87,12.28,9.05
3362.69,11.68,11.84,14.83,5.23,11.72,9.41
3377.76,11.66,11.89,16.07,6.48,11.31,9.56
3392.83,11.51,11.83,17.76,7.62,9.83,10.09
3407.9,11.97,11.2,18.71,7.58,9.58,10.53
3422.97,13.28,10.06,18.47,7.19,10.12,10.81
3438.04,14.63,9.27,17.4,7.83,10.01,11.52
3453.11,15.04,9.46,15.57,8.81,8.62,12.47
3468.18,13.06,10.11,15.84,8.78,7.31,12.78
3483.25,12.62,10.35,16.83,8.12,7.12,11.98
3498.32,13.09,10.19,17.62,7.58,7.39,10.64
3513.39,14.29,9.93,17.32,7.09,7.39,9.61
3528.46,15.94,9.16,15.95,6.78,7.36,9.15
3543.53,16.88,7.35,14.45,6.87,7.97,9.37
3558.6,15.89,7.92,13.53,7.43,9.78,10.48
3573.67,13.72,8.89,13.08,8.13,12.16,12.14
3588.74,12.32,9.57,12.86,8.11,13.62,13.4
3603.81,12.48,9.89,12.89,7.6,14.03,13.83
3618.88,13.38,9.62,13.24,8.03,14.3,13.86
3633.95,14.08,8.89,14.13,9.83,14.61,13.78
3649.03,14.28,8.61,15.5,9.93,14.5,13.09
3664.1,14.2,9.38,16.48,10.56,13.53,11.62
3679.17,14.21,10.6,16.64,11.07,11.42,10.28
3694.24,14.52,11.16,16.87,10.46,7.35,9.96
3709.31,14.96,10.66,17.72,9.1,7.72,10.25
3724.38,15.21,10,18.37,8.08,9.02,9.31
3739.45,15.28,10.87,17.99,7.63,10.3,9.46
3754.52,15.48,10.29,16.79,6.8,10.99,10.2
3769.59,15.68,8.43,15.41,5.3,10.5,10.37
3784.66,15.23,6.93,13.5,4.36,8.97,10.07
3799.73,14.11,6.67,13.38,4.4,7.32,10.29
3814.8,13.36,6.98,13.49,4.24,6.55,11.53
3829.87,13.42,7.57,13.23,3.63,7,13.12
3844.94,13.5,8.81,12.93,3.51,8.03,13.79
3860.01,11.87,10.3,12.99,3.96,8.85,13.02
3875.08,10.76,10.83,13.11,4.32,8.97,11.17
3890.15,9.5,9.77,13.27,4.55,8.33,9.06
3905.22,8.37,8.06,13.21,5.33,7.65,7.9
3920.29,8.29,7.32,11.99,6.72,7.75,7.81
3935.36,9.57,9.05,10.02,7.72,8.49,7.84
3950.43,11.13,9.35,9.12,7.5,9.29,8.13
3965.5,11.96,7.93,9.89,6.09,10.04,9.13
3980.57,12.67,5.49,11.43,4.09,10.54,9.55
3995.64,14.33,4.31,12.83,1.58,10.6,8.23
4010.71,16.19,5.24,13.67,0.78,11.08,6.43
4025.78,16.42,6.65,14.06,-0.2,11.65,6.02
4040.85,14.35,7.43,14.13,-0.02,11.9,6.74
4055.92,11.01,8,13.96,2.09,11.96,7.07
4070.99,8.27,8.34,13.99,4.36,11.52,6.1
4086.07,7.52,8.45,14.25,4.73,9.99,6.87
4101.14,8.37,8.81,13.59,3.56,8.04,8.4
4116.21,9.64,9.08,11.3,2.65,7.21,9.54
4131.28,10.9,6.89,7.97,2.94,7.79,9.96
4146.35,11.97,5.74,9.54,3.72,8.45,9.74
4161.42,11.93,5.27,11.82,3.78,8.32,9.16
4176.49,10.17,5.24,13.19,3.02,7.85,9.02
4191.56,7.83,5.43,13.69,2.42,7.27,9.21
4206.63,6.67,5.77,13.88,2.84,6.7,8.54
4221.7,7.15,6.66,13.86,4.14,7.09,7.21
4236.77,9.35,8.12,13.67,5.7,8.82,6.91
4251.84,10.47,8.98,13.56,7.29,10.63,7.88
4266.91,11.95,8.79,13.85,8.63,11.17,8.57
4281.98,13.6,8.75,14.37,8.69,10.48,8.32
4297.05,14.96,9.58,13.92,6.97,9.7,8.07
4312.12,15.37,10.89,12.3,5.33,9.57,8.44
4327.19,14.89,12.02,11.51,6.08,9.21,8.83
4342.26,14.72,10.36,12.83,8.36,8.18,8.8
4357.33,15.25,8.61,14.46,8.79,7.01,8.99
4372.4,15.31,8.8,14.34,7.98,6.36,9.89
4387.47,14.29,10.96,13.34,7.32,6.12,11.11
4402.54,13.24,12.6,13.66,5.51,6.25,12
4417.61,12.72,11.44,15.82,2.47,6.82,12.05
4432.68,12.05,8.74,18.26,0.38,7.03,12.19
4447.75,11.42,7.6,19.14,0.96,6.56,13.11
4462.82,11.62,8.31,15.8,3.33,6.65,13.86
4477.89,11.71,8.31,14.91,5.03,7.72,12.86
4492.96,10.63,6.75,15.18,4.95,8.72,10.72
4508.04,9.63,5.73,14.87,4.28,8.81,9.75
4523.11,9.75,7.23,13.52,4.24,7.86,10.19
4538.18,9.83,7.2,12.73,4.88,6.81,10.3
4553.25,9.28,7.25,13.03,5.65,7.17,9.5
4568.32,9.23,8.06,13.13,5.68,8.47,8.83
4583.39,10.13,8.99,12.36,4.61,8.61,9.19
4598.46,11.24,9.3,11.25,3.44,7.3,10.05
4613.53,11.95,9.04,10.62,3.36,5.33,10.05
4628.6,12.61,8.22,10.98,4.09,5.59,8.91
4643.67,12.85,6.73,11.88,4.31,6.36,7.5
4658.74,12.54,5.16,12.08,3.79,6.97,6.48
4673.81,11.49,4.59,10.97,3.76,7.22,6.01
4688.88,10.64,5.15,9.45,4.8,6.98,5.89
4703.95,10.66,6.28,8.88,6.05,6.55,5.89
4719.02,10.89,7.84,9.47,7.05,7.03,6.15
4734.09,10.95,7.64,10.48,6.75,8.53,6.39
4749.16,11.12,7.58,11.81,5.75,9.5,6.15
4764.23,11.1,8.39,13.54,5.12,9.1,8.09
4779.3,10.8,10.17,14.63,5.4,8.13,10.03
4794.37,11.14,12.06,13.48,5.67,7.39,10.75
4809.44,12.01,12.24,13.66,5.29,6.89,10.67
4824.51,12.03,10.08,14.63,4.48,6.91,10.81
4839.58,11.65,7.49,15.22,3.9,7.94,11.26
4854.65,12.79,6.05,14.9,4.61,9.39,11.34
4869.72,15.06,5.38,13.82,6.74,10.13,10.48
4884.79,16.42,5.02,12.38,8.72,10,9.45
4899.86,16.22,5.06,11.5,9.23,9.39,9.59
4914.93,15.04,5.28,11.79,8.53,6.55,10.57
4930,13.63,5.95,12.51,7.39,5.69,11.06
4945.08,13.04,7.26,12.56,5.95,5.86,10.9
4960.15,13.46,8.45,12.04,4.27,6.11,10.64
4975.22,13.59,8.81,11.81,3.34,6.21,10.23
4990.29,12.7,8.25,12.16,3.96,6.69,9.53
5005.36,11.32,7.27,12.74,5,7.21,8.59
5020.43,8.71,6.56,13.11,4.61,7.13,7.67
5035.5,7.83,6.46,12.89,3.17,6.9,7.18
5050.57,7.64,6.83,12.04,2.56,6.91,7.06
5065.64,8.28,7.33,11.3,3.14,6.63,6.62
5080.71,9.09,7.41,11.4,3.64,5.66,5.84
5095.78,9.12,6.65,12.17,2.42,4.57,5.63
5110.85,8.77,3.38,12.65,1.05,4.12,6.93
5125.92,9.38,2.32,12.05,0.16,4.33,6.98
5140.99,10.56,2.01,10.21,-0.54,4.63,6.93
5156.06,10.42,2.03,11.05,-0.84,4.6,7.09
5171.13,8.56,2.15,11.74,-0.03,4.8,7.16
5186.2,6.51,2.5,11.42,1.7,6.27,7.05
5201.27,5.61,3.08,11.4,3.22,8.27,7.08
5216.34,6.14,3.66,12.12,3.68,6.57,7.41
5231.41,7.53,4.14,12,3.39,4.71,7.62
5246.48,8.59,4.63,10.73,3.1,4.24,7.3
5261.55,8.12,5.11,10.43,3.26,4.77,6.63
5276.62,6.6,5.75,12.04,3.83,5.51,5.9
5291.69,6.33,6.64,13.39,4.57,5.88,5.57
5306.76,8.07,7.37,13.03,4.97,6.01,6.52
5321.83,9.89,6.68,12.43,4.78,6.28,8.97
5336.9,10.62,5.63,12.96,4.26,6.17,11.72
5351.98,10.89,5.27,14.04,3.58,5.17,13.07
5367.05,10.88,6.43,14.64,2.78,4.21,12.13
5382.12,10.32,8.09,14.15,2.35,4.34,9.52
5397.19,10.16,8.2,12.59,2.54,5.18,7.02
